i,j,AR,area
4,38,3.76084,0.000262395
4,39,3.83508,0.000267543
4,40,3.90944,0.000272691
4,41,3.98389,0.000277838
4,42,4.05843,0.000282986
4,43,4.13306,0.000288133
4,44,4.20778,0.000293281
4,45,4.28257,0.000298428
4,46,4.35744,0.000303576
4,47,4.43237,0.000308723
4,48,4.50738,0.000313871
4,49,4.58245,0.000319018
4,50,4.65758,0.000324166
4,51,4.73276,0.000329313
4,52,4.80801,0.000334461
4,53,4.8833,0.000339608
4,54,4.95865,0.000344756
4,55,5.03404,0.000349903
4,56,5.10948,0.000355051
4,57,5.18496,0.000360198
4,58,5.26049,0.000365346
4,59,5.33605,0.000370493
4,60,5.41166,0.000375641
4,61,5.4873,0.000380788
4,62,5.56297,0.000385936
4,63,5.63868,0.000391083
4,64,5.71443,0.000396231
4,65,5.7902,0.000401378
4,66,5.86601,0.000406526
4,67,5.94184,0.000411673
4,68,6.0177,0.000416821
4,69,6.09359,0.000421968
4,70,6.1695,0.000427116
4,71,6.24544,0.000432263
4,72,6.3214,0.000437411
4,73,6.39739,0.000442558
4,74,6.4734,0.000447706
4,75,6.54943,0.000452853
4,76,6.62548,0.000458001
4,77,6.70155,0.000463148
4,78,6.77764,0.000468296
4,79,6.85375,0.000473443
4,80,6.92987,0.000478591
4,81,7.00602,0.000483739
4,82,7.08218,0.000488886
4,83,7.15836,0.000494034
4,84,7.23455,0.000499181
4,85,7.31076,0.000504329
4,86,7.38699,0.000509476
4,87,7.46322,0.000514624
4,88,7.53948,0.000519771
4,89,7.61574,0.000524919
4,90,7.69202,0.000530066
4,91,7.76832,0.000535214
4,92,7.84462,0.000540361
4,93,7.92094,0.000545509
4,94,7.99727,0.000550656
4,95,8.07361,0.000555804
4,96,8.14996,0.000560951
4,97,8.22632,0.000566099
4,98,8.3027,0.000571246
4,99,8.37908,0.000576394
5,0,1.19459,7.12604e-05
5,1,1.23808,7.59603e-05
5,2,1.28367,8.06601e-05
5,3,1.33117,8.53599e-05
5,4,1.38036,9.00597e-05
5,5,1.43107,9.47596e-05
5,6,1.48315,9.94594e-05
5,7,1.53646,0.000104159
5,8,1.59087,0.000108859
5,9,1.64628,0.000113559
5,10,1.70258,0.000118259
5,11,1.7597,0.000122959
5,12,1.81755,0.000127658
5,13,1.87607,0.000132358
5,14,1.93519,0.000137058
5,15,1.99487,0.000141758
5,16,2.05505,0.000146458
5,17,2.1157,0.000151157
5,18,2.17676,0.000155857
5,19,2.23822,0.000160557
5,20,2.30003,0.000165257
5,21,2.36217,0.000169957
5,22,2.42462,0.000174657
5,23,2.48734,0.000179356
5,24,2.55033,0.000184056
5,25,2.61356,0.000188756
5,26,2.67701,0.000193456
5,27,2.74067,0.000198156
5,28,2.80453,0.000202856
5,29,2.86856,0.000207555
5,30,2.93277,0.000212255
5,31,2.99713,0.000216955
5,32,3.06165,0.000221655
5,33,3.1263,0.000226355
5,34,3.19109,0.000231054
5,35,3.25599,0.000235754
5,36,3.32102,0.000240454
5,37,3.38615,0.000245154
5,38,3.45139,0.000249854
5,39,3.51672,0.000254554
5,40,3.58214,0.000259253
5,41,3.64766,0.000263953
5,42,3.71325,0.000268653
5,43,3.77892,0.000273353
5,44,3.84467,0.000278053
5,45,3.91049,0.000282753
5,46,3.97637,0.000287452
5,47,4.04232,0.000292152
5,48,4.10833,0.000296852
5,49,4.1744,0.000301552
5,50,4.24052,0.000306252
5,51,4.30669,0.000310952
5,52,4.37292,0.000315651
5,53,4.43919,0.000320351
5,54,4.50551,0.000325051
5,55,4.57187,0.000329751
5,56,4.63827,0.000334451
5,57,4.70471,0.00033915
5,58,4.7712,0.00034385
5,59,4.83771,0.00034855
5,60,4.90427,0.00035325
5,61,4.97086,0.00035795
5,62,5.03748,0.00036265
5,63,5.10413,0.000367349
5,64,5.17081,0.000372049
5,65,5.23752,0.000376749
5,66,5.30426,0.000381449
5,67,5.37103,0.000386149
5,68,5.43782,0.000390849
5,69,5.50463,0.000395548
5,70,5.57147,0.000400248
5,71,5.63834,0.000404948
5,72,5.70522,0.000409648
5,73,5.77213,0.000414348
5,74,5.83906,0.000419048
5,75,5.90601,0.000423747
5,76,5.97298,0.000428447
5,77,6.03996,0.000433147
5,78,6.10697,0.000437847
5,79,6.17399,0.000442547
5,80,6.24103,0.000447246
5,81,6.30808,0.000451946
5,82,6.37516,0.000456646
5,83,6.44224,0.000461346
5,84,6.50935,0.000466046
5,85,6.57646,0.000470746
5,86,6.64359,0.000475445
5,87,6.71074,0.000480145
5,88,6.77789,0.000484845
5,89,6.84506,0.000489545
5,90,6.91225,0.000494245
5,91,6.97944,0.000498945
5,92,7.04665,0.000503644
5,93,7.11387,0.000508344
5,94,7.1811,0.000513044
5,95,7.24834,0.000517744
5,96,7.31559,0.000522444
5,97,7.38285,0.000527143
5,98,7.45012,0.000531843
5,99,7.5174,0.000536543
6,0,1.17374,7.51459e-05
6,1,1.21526,7.95126e-05
6,2,1.25837,8.38793e-05
6,3,1.3029,8.8246e-05
6,4,1.34871,9.26128e-05
6,5,1.39569,9.69795e-05
6,6,1.44371,0.000101346
6,7,1.49267,0.000105713
6,8,1.54249,0.00011008
6,9,1.59309,0.000114446
6,10,1.64438,0.000118813
6,11,1.69632,0.00012318
6,12,1.74884,0.000127546
6,13,1.80189,0.000131913
6,14,1.85543,0.00013628
6,15,1.90941,0.000140647
6,16,1.96379,0.000145013
6,17,2.01856,0.00014938
6,18,2.07367,0.000153747
6,19,2.1291,0.000158114
6,20,2.18482,0.00016248
6,21,2.24082,0.000166847
6,22,2.29706,0.000171214
6,23,2.35355,0.00017558
6,24,2.41025,0.000179947
6,25,2.46715,0.000184314
6,26,2.52424,0.000188681
6,27,2.58151,0.000193047
6,28,2.63894,0.000197414
6,29,2.69653,0.000201781
6,30,2.75427,0.000206147
6,31,2.81214,0.000210514
6,32,2.87013,0.000214881
6,33,2.92825,0.000219248
6,34,2.98648,0.000223614
6,35,3.04482,0.000227981
6,36,3.10326,0.000232348
6,37,3.16179,0.000236714
6,38,3.22041,0.000241081
6,39,3.27912,0.000245448
6,40,3.33791,0.000249815
6,41,3.39677,0.000254181
6,42,3.45571,0.000258548
6,43,3.51472,0.000262915
6,44,3.57379,0.000267281
